id,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count
33206,HOTEL MANHATTAN,N/A,N/A,N/A,28x18cm folded; 28x36cm open,N/A,N/A,1917-0956_wotm,1917-12-17T00:00:00Z,Hotel Manhattan,DOLLARS,$,COMPLETE,4,177
33207,HOTEL MANHATTAN,N/A,N/A,N/A,28x18cm folded; 28x36cm open,N/A,N/A,1917-0957_wotm,1917-12-17T00:00:00Z,Hotel Manhattan,DOLLARS,$,COMPLETE,4,159
33208,WM. F. HEALY'S 42ND ST. GRILL,N/A,N/A,N/A,20x13cm,N/A,N/A,1917-0958_wotm,1917-12-17T00:00:00Z,Wm. F. Healy's 42nd St. Grill,DOLLARS,$,COMPLETE,1,21
33209,LOUIS SHERRY,N/A,N/A,N/A,26.5x15cm folded; 26.5x30cm open,N/A,N/A,1917-0959_wotm,1917-12-17T00:00:00Z,Louis Sherry,DOLLARS,$,COMPLETE,3,180
33210,HEALY'S FORTY-SECOND STREET RESTAURANT,N/A,N/A,N/A,33x18.5cm,N/A,N/A,1917-0960_wotm,1917-12-17T00:00:00Z,Healy's Forty-second Street Restaurant,DOLLARS,$,COMPLETE,2,337
33211,HEALY'S FORTY-SECOND STREET RESTAURANT,N/A,N/A,N/A,33x18.5cm,N/A,N/A,1917-0961_wotm,1917-12-17T00:00:00Z,Healy's Forty-second Street Restaurant,DOLLARS,$,COMPLETE,2,251
33212,PENNSYLVANIA RAILROAD,N/A,N/A,N/A,26.5x15.5cm,N/A,N/A,1917-0962_wotm,1917-12-17T00:00:00Z,Pennsylvania Railroad,DOLLARS,$,COMPLETE,2,265
33213,THE BILTMORE,N/A,N/A,N/A,28x18cm folded; 28x36cm open,N/A,N/A,1917-0963_wotm,1917-12-18T00:00:00Z,The Biltmore,DOLLARS,$,COMPLETE,4,74
33214,THE BILTMORE,N/A,N/A,N/A,28x18cm folded; 28x36cm open,N/A,N/A,1917-0964_wotm,1917-12-18T00:00:00Z,The Biltmore,DOLLARS,$,COMPLETE,4,173
33215,HOTEL MANHATTAN,N/A,N/A,N/A,28x18cm folded; 28x36cm open,N/A,N/A,1917-0965_wotm,1917-12-18T00:00:00Z,Hotel Manhattan,DOLLARS,$,COMPLETE,4,156
33216,HEALY'S FORTY-SECOND STREET RESTAURANT,N/A,N/A,N/A,33x18.5cm,N/A,N/A,1917-0966_wotm,1917-12-18T00:00:00Z,Healy's Forty-second Street Restaurant,DOLLARS,$,COMPLETE,2,168
33217,HEALY'S FORTY-SECOND STREET RESTAURANT,N/A,N/A,N/A,33x18.5cm,N/A,N/A,1917-0967_wotm,1917-12-18T00:00:00Z,Healy's Forty-second Street Restaurant,DOLLARS,$,COMPLETE,2,323
33218,WM. F. HEALY'S 42ND ST. GRILL,N/A,N/A,N/A,20x13cm,N/A,N/A,1917-0968_wotm,1917-12-18T00:00:00Z,Wm. F. Healy's 42nd St. Grill,DOLLARS,$,COMPLETE,1,21
33219,N/A,N/A,N/A,N/A,28x17.5cm,N/A,N/A,1917-0969_wotm,1917-12-18T00:00:00Z,[Restaurant name and/or location not given],DOLLARS,$,COMPLETE,1,58
33220,J.J. LUSSIER COMMISSARY CONTRACTOR,N/A,N/A,N/A,21.5x16cm,N/A,N/A,1917-0970_wotm,1917-12-21T00:00:00Z,J.J. Lussier Commissary Contractor,,,COMPLETE,3,30
33221,N/A,N/A,N/A,N/A,54x21.5cm,N/A,N/A,1917-0971_wotm,1917-12-21T00:00:00Z,[Restaurant name and/or location not given],DOLLARS,$,COMPLETE,1,99
33223,PENNSYLVANIA RAILROAD,N/A,N/A,N/A,20x13cm,N/A,N/A,1917-0973_wotm,1917-12-21T00:00:00Z,Pennsylvania Railroad,DOLLARS,$,COMPLETE,3,182
33224,HOTEL MANHATTAN,N/A,N/A,N/A,28x18cm folded; 28x36cm open,N/A,N/A,1917-0974_wotm,1917-12-21T00:00:00Z,Hotel Manhattan,DOLLARS,$,COMPLETE,4,101
33225,HOTEL WALLICK,N/A,N/A,N/A,34x27cm folded; 34x54cm open,N/A,dinner in honor of Lou C. and London I. Wallick,1917-0975_wotm,1917-12-21T00:00:00Z,Hotel Wallick,,,COMPLETE,2,21
33226,THE BILTMORE,N/A,N/A,N/A,28x18cm folded; 28x36cm open,N/A,N/A,1917-0976_wotm,1917-12-20T00:00:00Z,The Biltmore,DOLLARS,$,COMPLETE,4,24
33227,HEALY'S FORTY-SECOND STREET RESTAURANT,N/A,N/A,N/A,33x18.5cm,N/A,N/A,1917-0977_wotm,1917-12-21T00:00:00Z,Healy's Forty-second Street Restaurant,DOLLARS,$,COMPLETE,4,574
33228,N/A,N/A,N/A,N/A,28x17.5cm,N/A,N/A,1917-0978_wotm,1917-12-21T00:00:00Z,[Restaurant name and/or location not given],DOLLARS,$,COMPLETE,1,75
33229,HERALD SQUARE HOTEL,N/A,N/A,N/A,30x21.5cm folded; 30x43cm open,N/A,N/A,1917-0979_wotm,1917-12-21T00:00:00Z,Herald Square Hotel,DOLLARS,$,COMPLETE,3,271
33230,HERALD SQUARE HOTEL,N/A,N/A,N/A,30x21.5cm folded; 30x43cm open,N/A,N/A,1917-0980_wotm,1917-12-01T00:00:00Z,Herald Square Hotel,DOLLARS,$,COMPLETE,3,539
33231,LOUIS SHERRY,N/A,N/A,N/A,26.5x15cm folded; 26.5x30cm open,N/A,N/A,1917-0981_wotm,1917-12-21T00:00:00Z,Louis Sherry,DOLLARS,$,COMPLETE,5,481
33232,WM. F. HEALY'S 42ND ST. GRILL,N/A,N/A,N/A,20x13cm,N/A,N/A,1917-0982_wotm,1917-12-21T00:00:00Z,Wm. F. Healy's 42nd St. Grill,DOLLARS,$,COMPLETE,1,21
33233,PENNSYLVANIA RAILROAD,N/A,N/A,N/A,26.5x15.5cm,N/A,N/A,1917-0983_wotm,1917-12-21T00:00:00Z,Pennsylvania Railroad,DOLLARS,$,COMPLETE,2,261
33234,N/A,N/A,N/A,N/A,35.5x18cm,N/A,bottom of menu is torn off/missing,1917-0984_wotm,1917-12-20T00:00:00Z,[Restaurant name and/or location not given],DOLLARS,$,COMPLETE,2,279
33235,N/A,N/A,N/A,N/A,54x21.5cm,N/A,N/A,1917-0985_wotm,1917-12-20T00:00:00Z,[Restaurant name and/or location not given],DOLLARS,$,COMPLETE,1,96
33236,LOUIS SHERRY,N/A,N/A,N/A,26.5x15cm folded; 26.5x30cm open,N/A,N/A,1917-0986_wotm,1917-12-20T00:00:00Z,Louis Sherry,DOLLARS,$,COMPLETE,2,251
33237,J.J. LUSSIER COMMISSARY CONTRACTOR,N/A,N/A,N/A,21.5x16cm,N/A,N/A,1917-0987_wotm,1917-12-20T00:00:00Z,J.J. Lussier Commissary Contractor,,,COMPLETE,3,29
33238,PENNSYLVANIA RAILROAD,N/A,N/A,N/A,26.5x15.5cm,N/A,N/A,1917-0988_wotm,1917-12-20T00:00:00Z,Pennsylvania Railroad,DOLLARS,$,COMPLETE,2,194
33239,WALDORF ASTORIA,N/A,N/A,N/A,23x18cm folded; 23x36cm open,N/A,N/A,1917-0989_wotm,1917-12-20T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,4,176
33240,HEALY'S FORTY-SECOND STREET RESTAURANT,N/A,N/A,N/A,33x18.5cm,N/A,N/A,1917-0990_wotm,1917-12-20T00:00:00Z,Healy's Forty-second Street Restaurant,DOLLARS,$,COMPLETE,2,256
33241,HEALY'S FORTY-SECOND STREET RESTAURANT,N/A,N/A,N/A,33x18.5cm,N/A,N/A,1917-0991_wotm,1917-12-20T00:00:00Z,Healy's Forty-second Street Restaurant,DOLLARS,$,COMPLETE,2,75
33242,WM. F. HEALY'S 42ND ST. GRILL,N/A,N/A,N/A,20x13cm,N/A,N/A,1917-0992_wotm,1917-12-20T00:00:00Z,Wm. F. Healy's 42nd St. Grill,,,COMPLETE,1,21
33243,N/A,N/A,N/A,N/A,28x17.5cm,N/A,N/A,1917-0993_wotm,1917-12-20T00:00:00Z,[Restaurant name and/or location not given],DOLLARS,$,COMPLETE,1,62
33244,THE BILTMORE,N/A,N/A,N/A,28x18cm folded; 28x36cm open,N/A,N/A,1917-0994_wotm,1917-12-20T00:00:00Z,The Biltmore,DOLLARS,$,COMPLETE,4,32
33245,HOTEL MANHATTAN,N/A,N/A,N/A,28x18cm folded; 28x36cm open,N/A,N/A,1917-0995_wotm,1917-12-20T00:00:00Z,Hotel Manhattan,DOLLARS,$,COMPLETE,4,174
33246,J.J. LUSSIER COMMISSARY CONTRACTOR,N/A,N/A,N/A,21.5x16cm,N/A,N/A,1917-0996_wotm,1917-12-19T00:00:00Z,J.J. Lussier Commissary Contractor,,,COMPLETE,3,27
33247,PENNSYLVANIA RAILROAD,N/A,N/A,N/A,21.5x13.5cm,N/A,N/A,1917-0997_wotm,1917-12-19T00:00:00Z,Pennsylvania Railroad,DOLLARS,$,COMPLETE,1,61
33248,PENNSYLVANIA RAILROAD,N/A,N/A,N/A,21.5x13.5cm,N/A,N/A,1917-0998_wotm,1917-12-19T00:00:00Z,Pennsylvania Railroad,DOLLARS,$,COMPLETE,1,55
33249,FIFTH AVENUE RESTAURANT,N/A,N/A,N/A,25.5x15cm,N/A,N/A,1917-0999_wotm,1917-12-19T00:00:00Z,Fifth Avenue Restaurant,DOLLARS,$,COMPLETE,1,79
33250,LOUIS SHERRY,N/A,N/A,N/A,26.5x15cm folded; 26.5x30cm open,N/A,N/A,1917-1000_wotm,1917-12-19T00:00:00Z,Louis Sherry,DOLLARS,$,COMPLETE,5,479
33251,PENNSYLVANIA RAILROAD,N/A,N/A,N/A,21.5x13.5cm,N/A,N/A,1917-1001_wotm,1917-12-19T00:00:00Z,Pennsylvania Railroad,DOLLARS,$,COMPLETE,2,255
33252,DONAHUE'S LUNCH,N/A,N/A,N/A,27.5x21.5cm,N/A,N/A,1917-1002_wotm,1917-12-19T00:00:00Z,Donahue's Lunch,DOLLARS,$,COMPLETE,1,55
33253,THE LONDON LOUNGE,N/A,N/A,N/A,13x20.5cm,N/A,N/A,1917-0773_wotm,1917-12-01T00:00:00Z,The London Lounge,,,COMPLETE,2,12
33254,THE LONDON LOUNGE,N/A,N/A,N/A,13x20.5cm,N/A,N/A,1917-0774_wotm,1917-12-03T00:00:00Z,The London Lounge,,,COMPLETE,3,17
33255,THE LONDON LOUNGE,N/A,N/A,N/A,13x20.5cm,N/A,N/A,1917-0775_wotm,1917-12-04T00:00:00Z,The London Lounge,,,COMPLETE,2,9
33256,LOUIS SHERRY,N/A,N/A,N/A,26.5x15.5cm,N/A,menu also printed in French,1917-0776_wotm,1917-12-01T00:00:00Z,Louis Sherry,DOLLARS,$,COMPLETE,4,487
33257,LOUIS SHERRY,N/A,N/A,N/A,26.5x15.5cm,N/A,menu also printed in French,1917-0777_wotm,1917-12-03T00:00:00Z,Louis Sherry,DOLLARS,$,COMPLETE,4,493
33258,LOUIS SHERRY,N/A,N/A,N/A,26.5x15.5cm,N/A,menu also printed in French,1917-0778_wotm,1917-12-04T00:00:00Z,Louis Sherry,DOLLARS,$,COMPLETE,4,455
33259,MENDEL,N/A,N/A,N/A,28x18cm,N/A,N/A,1917-0779_wotm,1917-12-01T00:00:00Z,Mendel,DOLLARS,$,COMPLETE,2,300
33260,FIFTH AVENUE RESTAURANT,N/A,N/A,N/A,26.5x20.5cm folded; 26.5x41cm open,N/A,N/A,1917-0780_wotm,1917-12-01T00:00:00Z,Fifth Avenue Restaurant,DOLLARS,$,COMPLETE,3,230
33261,FIFTH AVENUE RESTAURANT,N/A,N/A,N/A,26.5x20.5cm folded; 26.5x41cm open,N/A,N/A,1917-0781_wotm,1917-12-03T00:00:00Z,Fifth Avenue Restaurant,DOLLARS,$,COMPLETE,3,247
33262,THE PEKIN RESRAURANT,N/A,N/A,N/A,,N/A,N/A,1915-0001,1915-01-01T00:00:00Z,The Pekin Resraurant,DOLLARS,$,COMPLETE,4,58
33263,COLLEGE INN CHICAGO,N/A,N/A,N/A,,N/A,N/A,1915-0002,1915-01-01T00:00:00Z,College Inn Chicago,,,UNDER REVIEW,2,13
33264,THOMAS HEALY,N/A,N/A,N/A,,N/A,N/A,1915-0003,1915-01-01T00:00:00Z,Thomas Healy,DOLLARS,$,COMPLETE,2,51
33265,THE MARQUISE,N/A,N/A,N/A,,N/A,N/A,1915-0004,1915-01-01T00:00:00Z,The Marquise,,,COMPLETE,2,31
33266,MANHATTAN CLUB,N/A,N/A,N/A,,N/A,N/A,1915-0005,1915-01-01T00:00:00Z,Manhattan Club,,,COMPLETE,1,23
33267,N/A,N/A,N/A,N/A,,N/A,N/A,1915-0006,1915-01-01T00:00:00Z,Restaurant name and/or location not given,DOLLARS,$,COMPLETE,1,51
33268,PENNSYLVANIA RAILROAD RESTAURANTS,N/A,N/A,N/A,,N/A,N/A,1915-0007,1915-01-01T00:00:00Z,Pennsylvania Railroad Restaurants,DOLLARS,$,COMPLETE,2,181
33269,PENNSYLVANIA RAILROAD RESTAURANTS,N/A,N/A,N/A,,N/A,N/A,1915-0008,1915-01-01T00:00:00Z,Pennsylvania Railroad Restaurants,DOLLARS,$,COMPLETE,4,96
33270,BELLEVUE - STRATFORD,N/A,N/A,N/A,,N/A,N/A,1915-0009,1915-01-01T00:00:00Z,Bellevue - Stratford,,,COMPLETE,4,22
33271,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0010,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,8,22
33272,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0011,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,12,18
33273,DELMONICOS,N/A,N/A,N/A,,N/A,N/A,1915-0012,1915-01-01T00:00:00Z,Delmonicos,,,COMPLETE,1,14
33274,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0013,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,3,17
33275,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0014,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,6,21
33276,U. S. S. NY,N/A,N/A,N/A,,N/A,N/A,1915-0015,1915-01-01T00:00:00Z,U. S. S. NY,,,UNDER REVIEW,2,14
33277,SPHINX CLUB,N/A,N/A,N/A,,N/A,N/A,1915-0016,1915-01-01T00:00:00Z,Sphinx Club,,,COMPLETE,3,23
33278,SOUTH FERRY HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0017,1915-01-01T00:00:00Z,South Ferry Hotel,DOLLARS,$,COMPLETE,1,36
33279,HOTEL ASTOR,N/A,N/A,N/A,,N/A,N/A,1915-0018,1915-01-01T00:00:00Z,Hotel Astor,,,COMPLETE,4,19
33280,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0019,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,5,22
33281,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0020,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,7,15
33282,HOFBRAU HAUS,N/A,N/A,N/A,,N/A,N/A,1915-0021,1915-01-01T00:00:00Z,Hof Brau Haus,,,COMPLETE,4,18
33283,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0022,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,21,23
33284,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0023,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,7,22
33285,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0024,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,6,23
33286,KNICKERBOCKER FIELD CLUB,N/A,N/A,N/A,,N/A,N/A,1915-0025,1915-01-01T00:00:00Z,Knickerbocker Field Club,,,COMPLETE,1,17
33287,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0026,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,1,13
33288,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0027,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,4,19
33289,METROPOLITAN LIFE INSURANCE COMPANY,N/A,N/A,N/A,,N/A,N/A,1915-0028,1915-01-01T00:00:00Z,Metropolitan Life Insurance Company,,,COMPLETE,3,12
33290,HOTEL MAJESTIC,N/A,N/A,N/A,,N/A,N/A,1915-0029,1915-01-01T00:00:00Z,Hotel Majestic,,,COMPLETE,12,24
33291,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0030,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,14,25
33292,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0031,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,3,17
33293,THE BILTMORE,N/A,N/A,N/A,,N/A,N/A,1915-0032,1915-01-01T00:00:00Z,The Biltmore,,,COMPLETE,10,18
33294,HOTEL ASTOR,N/A,N/A,N/A,,N/A,N/A,1915-0033,1915-01-01T00:00:00Z,Hotel Astor,,,COMPLETE,3,17
33295,HARVARD CLUB,N/A,N/A,N/A,,N/A,N/A,1915-0034,1915-01-01T00:00:00Z,Harvard Club,,,COMPLETE,2,12
33296,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0035,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,3,48
33297,DELMONICOS,N/A,N/A,N/A,,N/A,N/A,1915-0036,1915-01-01T00:00:00Z,Delmonicos,DOLLARS,$,COMPLETE,2,35
33298,FRAUNCES' TAVERN,N/A,N/A,N/A,,N/A,N/A,1915-0037,1915-01-01T00:00:00Z,Fraunces Tavern,DOLLARS,$,COMPLETE,2,270
33299,HARVARD HALL,N/A,N/A,N/A,,N/A,N/A,1915-0038,1915-01-01T00:00:00Z,Harvard Hall,,,COMPLETE,17,17
33300,METROPOLITAN CLUB,N/A,N/A,N/A,,N/A,N/A,1915-0039,1915-01-01T00:00:00Z,Metropolitan Club,,,COMPLETE,4,27
33301,THE NEW WILLARD,N/A,N/A,N/A,,N/A,N/A,1915-0040,1915-01-01T00:00:00Z,The New Willard,,,COMPLETE,23,23
33302,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0041,1915-01-01T00:00:00Z,Waldorf Astoria,DOLLARS,$,COMPLETE,2,39
33303,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0042,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,9,24
33304,RECTOR'S,N/A,N/A,N/A,,N/A,N/A,1915-0043,1915-01-01T00:00:00Z,Rector's,DOLLARS,$,COMPLETE,3,73
33305,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0044,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,7,22
33306,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0045,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,7,36
33307,N/A,N/A,N/A,N/A,,N/A,N/A,1915-0046,1915-01-01T00:00:00Z,Restaurant name and/or location not given],,,COMPLETE,3,10
33308,SHERRY'S,N/A,N/A,N/A,,N/A,N/A,1915-0047,1915-01-01T00:00:00Z,Sherry's,,,COMPLETE,9,10
33309,THE PLAZA,N/A,N/A,N/A,,N/A,N/A,1915-0048,1915-01-01T00:00:00Z,The Plaza,,,COMPLETE,1,10
33310,LONG ISLAND BUSINESS COLLEGE,N/A,N/A,N/A,,N/A,N/A,1915-0049,1915-01-01T00:00:00Z,Long Island Business College,,,COMPLETE,3,19
33311,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0050,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,4,22
33314,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0053,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,5,15
33315,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0054,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,4,21
33316,BENSONHURST YACHT CLUB,N/A,N/A,N/A,,N/A,N/A,1915-0055,1915-01-01T00:00:00Z,Bensonhurst Yacht Club,,,COMPLETE,7,22
33318,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0057,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,7,17
33319,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0058,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,4,21
33322,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0061,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,7,66
33323,MCKEE'S RESTAURANT,N/A,N/A,N/A,,N/A,N/A,1915-0062,1915-01-01T00:00:00Z,McKee's Restaurant,DOLLARS,$,COMPLETE,4,7
33324,DELMONICOS,N/A,N/A,N/A,,N/A,N/A,1915-0063,1915-01-01T00:00:00Z,Delmonicos,,,COMPLETE,1,6
33325,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0064,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,4,17
33326,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0065,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,6,13
33327,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0066,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,9,24
33328,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0067,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,4,22
33329,UNION CLUB,N/A,N/A,N/A,,N/A,N/A,1915-0068,1915-01-01T00:00:00Z,Union Club,,,COMPLETE,2,22
33330,J.B. GREENHUT CO.,N/A,N/A,N/A,,N/A,N/A,1915-0069,1915-01-01T00:00:00Z,J.B. Greenhut Co.,DOLLARS,$,COMPLETE,5,150
33331,J.B. GREENHUT CO.,N/A,N/A,N/A,,N/A,N/A,1915-0070,1915-01-01T00:00:00Z,J.B. Greenhut Co.,DOLLARS,$,COMPLETE,1,17
33332,KEEN'S ENGLISH CHOP HOUSE,N/A,N/A,N/A,,N/A,N/A,1915-0071,1915-01-01T00:00:00Z,Keen's English Chop House,,,COMPLETE,2,12
33333,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0072,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,1,13
33334,HOTEL LA SALLE,N/A,N/A,N/A,,N/A,N/A,1915-0073,1915-01-01T00:00:00Z,Hotel LaSalle,,,COMPLETE,6,16
33335,U. S. S. WYOMING,N/A,N/A,N/A,,N/A,N/A,1915-0074,1915-01-01T00:00:00Z,U.S.S. Wyoming,,,COMPLETE,1,19
33336,HOTEL SAVOY,N/A,N/A,N/A,,N/A,N/A,1915-0075,1915-01-01T00:00:00Z,Hotel Savoy,,,COMPLETE,5,19
33337,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0076,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,5,22
33338,HOTEL CHAMBERLIN,N/A,N/A,N/A,,N/A,N/A,1915-0077,1915-01-01T00:00:00Z,Hotel Chamberlin,,,COMPLETE,2,45
33339,HOTEL CHAMBERLIN,N/A,N/A,N/A,,N/A,N/A,1915-0078,1915-01-01T00:00:00Z,Hotel Chamberlin,,,COMPLETE,2,52
33340,J.B. GREENHUT CO.,N/A,N/A,N/A,,N/A,N/A,1915-0079,1915-01-01T00:00:00Z,J.B. Greenhut Co.,DOLLARS,$,COMPLETE,2,134
33342,J.B. GREENHUT CO.,N/A,N/A,N/A,,N/A,N/A,1915-0081,1915-01-01T00:00:00Z,J.B. Greenhut Co.,DOLLARS,$,COMPLETE,5,285
33343,HOTEL MARTINIQUE,N/A,N/A,N/A,,N/A,N/A,1915-0082,1915-01-01T00:00:00Z,Hotel Martinique,,,COMPLETE,4,17
33346,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0085,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,18,12
33348,MERCANTILE LUNCH CO.,N/A,N/A,N/A,,N/A,N/A,1915-0087,1915-01-01T00:00:00Z,Mercantile lunch Co.,DOLLARS,$,COMPLETE,2,33
33349,MISSION INN,N/A,N/A,N/A,,N/A,N/A,1915-0088,1915-01-01T00:00:00Z,Mission Inn,,,COMPLETE,3,40
33350,SEABOARD AIR LINE RAILWAY,N/A,N/A,N/A,,N/A,N/A,1915-0089,1915-01-01T00:00:00Z,Seaboard Air Line Railway,DOLLARS,$,COMPLETE,4,116
33351,HOTEL ASTOR,N/A,N/A,N/A,,N/A,N/A,1915-0090,1915-01-01T00:00:00Z,Astor Hotel,,,COMPLETE,1,11
33352,HOTEL ASTOR,N/A,N/A,N/A,,N/A,N/A,1915-0091,1915-01-01T00:00:00Z,Astor Hotel,,,COMPLETE,1,10
33353,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0092,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,9,23
33354,HOTEL ASTOR,N/A,N/A,N/A,,N/A,N/A,1915-0093,1915-01-01T00:00:00Z,Astor Hotel,,,COMPLETE,1,11
33355,HOTEL ASTOR,N/A,N/A,N/A,,N/A,N/A,1915-0094,1915-01-01T00:00:00Z,Astor Hotel,,,COMPLETE,1,14
33356,HOTEL ASTOR,N/A,N/A,N/A,,N/A,N/A,1915-0095,1915-01-01T00:00:00Z,Astor Hotel,,,COMPLETE,5,22
33357,N/A,N/A,N/A,N/A,,N/A,N/A,1915-0096,1915-01-01T00:00:00Z,Restaurant name and/or location not given],,,COMPLETE,2,15
33358,HOTEL MARIE ANTOINETTE,N/A,N/A,N/A,,N/A,N/A,1915-0097,1915-01-01T00:00:00Z,Hotel Marie Antoinette,,,COMPLETE,1,13
33359,PENNSYLVANIA RAILROAD,N/A,N/A,N/A,,N/A,N/A,1915-0098,1915-01-01T00:00:00Z,Pennsylvania Railroad,DOLLARS,$,COMPLETE,4,70
33360,MASONIC BUILDING,N/A,N/A,N/A,,N/A,N/A,1915-0099,1915-01-01T00:00:00Z,Masonic Building,,,COMPLETE,5,18
33361,BROADWAY CENTRAL HOTEL,N/A,N/A,N/A,,N/A,N/A,1915-0100,1915-01-01T00:00:00Z,Broadway Central Hotel,DOLLARS,$,COMPLETE,3,338
33362,PALMETTO LIMITED,N/A,N/A,N/A,,N/A,N/A,1915-0101,1915-01-01T00:00:00Z,Palmetto Limited,DOLLARS,$,COMPLETE,3,89
33363,PALMETTO LIMITED,N/A,N/A,N/A,,N/A,N/A,1915-0102,1915-01-01T00:00:00Z,Palmetto Limited,DOLLARS,$,COMPLETE,3,88
33364,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0103,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,2,12
33365,WALDORF ASTORIA,N/A,N/A,N/A,,N/A,N/A,1915-0104,1915-01-01T00:00:00Z,Waldorf Astoria,,,COMPLETE,8,24
33366,THE GREGORIAN,N/A,N/A,N/A,,N/A,N/A,1915-0105,1915-01-01T00:00:00Z,The Gregorian,,,COMPLETE,1,21
33367,UNION CLUB,N/A,N/A,N/A,,N/A,N/A,1915-0106,1915-01-01T00:00:00Z,Union Club,,,COMPLETE,2,17
33369,HOTEL ST. ANDREW,N/A,N/A,N/A,,N/A,N/A,1915-0108,1915-01-01T00:00:00Z,Hotel St. Andrew,DOLLARS,$,COMPLETE,2,195
